entry_time,exit_time,type,pnl,status
2025-04-17 05:30:00,2025-04-17 14:00:00,LONG,1.0,WIN
2025-04-18 01:15:00,2025-04-18 02:00:00,LONG,-2.0,LOSS
2025-04-21 14:00:00,2025-04-21 16:45:00,LONG,-2.0,LOSS
2025-04-21 23:45:00,2025-04-22 00:30:00,LONG,-2.0,LOSS
2025-04-23 13:00:00,2025-04-23 13:30:00,LONG,-2.0,LOSS
2025-04-23 17:00:00,2025-04-23 19:15:00,LONG,-2.0,LOSS
2025-04-28 03:45:00,2025-04-28 16:15:00,LONG,5.0,WIN
2025-04-28 19:15:00,2025-04-29 05:00:00,LONG,-2.0,LOSS
2025-04-29 07:15:00,2025-04-29 21:15:00,LONG,-2.0,LOSS
2025-04-30 09:30:00,2025-04-30 12:30:00,LONG,-2.0,LOSS
2025-04-30 20:00:00,2025-04-30 22:45:00,LONG,-2.0,LOSS
2025-05-01 01:00:00,2025-05-01 12:30:00,LONG,5.875,WIN
2025-05-02 00:30:00,2025-05-02 07:30:00,LONG,-2.0,LOSS
2025-05-02 10:30:00,2025-05-02 21:45:00,LONG,3.0,WIN
2025-05-05 05:45:00,2025-05-05 10:00:00,LONG,-2.0,LOSS
2025-05-05 17:15:00,2025-05-05 20:30:00,LONG,-2.0,LOSS
2025-05-05 21:00:00,2025-05-06 02:00:00,LONG,-2.0,LOSS
2025-05-06 14:30:00,2025-05-06 23:15:00,LONG,5.875,WIN
2025-05-07 07:00:00,2025-05-07 17:45:00,LONG,1.0,WIN
2025-05-07 21:15:00,2025-05-08 15:15:00,LONG,5.875,WIN
2025-05-09 10:30:00,2025-05-09 11:15:00,LONG,-2.0,LOSS
2025-05-09 13:30:00,2025-05-09 14:15:00,LONG,-2.0,LOSS
2025-05-12 00:15:00,2025-05-12 01:30:00,LONG,-2.0,LOSS
2025-05-12 06:30:00,2025-05-12 11:45:00,LONG,3.0,WIN
2025-05-13 05:00:00,2025-05-15 07:00:00,LONG,4.25,WIN
2025-05-15 15:30:00,2025-05-18 23:45:00,LONG,5.875,WIN
2025-05-19 14:00:00,2025-05-20 00:15:00,LONG,5.875,WIN
2025-05-20 04:45:00,2025-05-20 06:15:00,LONG,-2.0,LOSS
2025-05-20 15:45:00,2025-05-21 06:30:00,LONG,5.875,WIN
2025-05-21 13:30:00,2025-05-21 16:30:00,LONG,5.875,WIN
2025-05-21 19:45:00,2025-05-23 12:15:00,LONG,3.0,WIN
2025-05-26 15:30:00,2025-05-26 16:15:00,LONG,-2.0,LOSS
2025-05-26 22:00:00,2025-05-26 22:45:00,LONG,-2.0,LOSS
2025-05-27 15:30:00,2025-05-27 21:15:00,LONG,-2.0,LOSS
2025-05-28 08:30:00,2025-05-28 09:15:00,LONG,-2.0,LOSS
2025-05-28 12:15:00,2025-05-28 13:15:00,LONG,-2.0,LOSS
2025-05-28 23:00:00,2025-05-29 00:00:00,LONG,-2.0,LOSS
2025-05-29 07:00:00,2025-05-29 13:30:00,LONG,1.0,WIN
2025-05-30 10:45:00,2025-05-30 12:00:00,LONG,-2.0,LOSS
2025-06-02 07:00:00,2025-06-02 09:00:00,LONG,1.0,WIN
2025-06-04 09:30:00,2025-06-04 11:15:00,LONG,-2.0,LOSS
2025-06-05 01:00:00,2025-06-05 01:45:00,LONG,-2.0,LOSS
2025-06-05 09:45:00,2025-06-05 10:30:00,LONG,-2.0,LOSS
2025-06-09 08:30:00,2025-06-09 10:00:00,LONG,5.875,WIN
2025-06-10 11:15:00,2025-06-10 12:00:00,LONG,-2.0,LOSS
2025-06-10 19:00:00,2025-06-11 12:15:00,LONG,-2.0,LOSS
2025-06-11 12:45:00,2025-06-11 13:30:00,LONG,-2.0,LOSS
2025-06-12 14:45:00,2025-06-12 15:15:00,LONG,-2.0,LOSS
2025-06-12 16:15:00,2025-06-12 19:45:00,LONG,-2.0,LOSS
2025-06-13 07:15:00,2025-06-13 14:30:00,LONG,-2.0,LOSS
2025-06-13 15:00:00,2025-06-13 18:15:00,LONG,-2.0,LOSS
2025-06-16 13:45:00,2025-06-16 14:00:00,LONG,-2.0,LOSS
2025-06-17 20:45:00,2025-06-18 01:00:00,SHORT,-2.0,LOSS
2025-06-18 14:15:00,2025-06-18 14:45:00,LONG,-2.0,LOSS
2025-06-18 16:15:00,2025-06-18 20:45:00,SHORT,-2.0,LOSS
2025-06-19 02:30:00,2025-06-19 13:30:00,LONG,-2.0,LOSS
2025-06-23 10:15:00,2025-06-23 13:30:00,SHORT,-2.0,LOSS
2025-06-23 16:00:00,2025-06-23 17:15:00,SHORT,1.0,WIN
2025-06-24 09:15:00,2025-06-24 13:30:00,LONG,-2.0,LOSS
2025-06-24 14:15:00,2025-06-26 03:00:00,LONG,5.875,WIN
2025-06-26 18:00:00,2025-06-26 21:30:00,LONG,-2.0,LOSS
2025-06-27 15:45:00,2025-06-27 17:30:00,LONG,-2.0,LOSS
2025-06-27 20:30:00,2025-06-30 14:45:00,LONG,4.25,WIN
2025-06-30 19:45:00,2025-06-30 21:15:00,LONG,-2.0,LOSS
2025-07-01 14:00:00,2025-07-01 14:15:00,LONG,-2.0,LOSS
2025-07-02 02:45:00,2025-07-02 08:30:00,LONG,5.875,WIN
2025-07-03 05:15:00,2025-07-03 12:30:00,LONG,3.0,WIN
2025-07-03 13:30:00,2025-07-03 14:30:00,LONG,-2.0,LOSS
2025-07-07 02:00:00,2025-07-07 04:45:00,LONG,-2.0,LOSS
2025-07-08 17:15:00,2025-07-09 03:00:00,LONG,-2.0,LOSS
2025-07-10 06:00:00,2025-07-10 10:30:00,LONG,-2.0,LOSS
2025-07-10 14:45:00,2025-07-10 17:30:00,LONG,5.875,WIN
2025-07-14 00:00:00,2025-07-14 05:15:00,LONG,5.875,WIN
2025-07-15 13:00:00,2025-07-15 14:30:00,LONG,-2.0,LOSS
2025-07-15 21:30:00,2025-07-20 22:15:00,LONG,5.0,WIN
2025-07-21 02:30:00,2025-07-21 18:45:00,LONG,3.0,WIN
2025-07-22 01:45:00,2025-07-22 02:45:00,LONG,-2.0,LOSS
2025-07-22 06:00:00,2025-07-25 02:30:00,LONG,4.25,WIN
2025-07-25 10:00:00,2025-07-25 13:30:00,LONG,-2.0,LOSS
2025-07-25 17:00:00,2025-07-31 23:30:00,LONG,5.0,WIN
2025-08-01 12:00:00,2025-08-01 13:30:00,LONG,-2.0,LOSS
2025-08-01 13:45:00,2025-08-01 14:00:00,SHORT,-2.0,LOSS
